Country,Code,2012,2013,2014
China,CHN,10028573.94,10258007.13,10291926.88
Bhutan,BTN,817.741,920.417,1001.091
Timor-Leste,TLS,293.36,440.04,469.376
"Macao SAR, China",MAC,1312.786,1180.774,1283.45
"Hong Kong SAR, China",HKG,43424.614,45005.091,46222.535
Central African Rep.,CAF,293.36,297.027,300.694
Denmark,DNK,36427.978,38532.836,33498.045
Ukraine,UKR,295791.221,271875.047,227298.995
Uzbekistan,UZB,115814.861,103354.395,105213.564
Uganda,UGA,4070.37,4869.776,5229.142
Uruguay,URY,8694.457,7587.023,6747.28
Chad,TCD,612.389,700.397,729.733
Yemen,YEM,18668.697,25496.651,22698.73
Armenia,ARM,5694.851,5496.833,5529.836
Israel,ISR,75529.199,67069.43,64601.539
Iraq,IRQ,152723.216,165506.378,168443.645
Iran,IRN,611758.276,619778.005,649480.705
Belize,BLZ,476.71,513.38,495.045
Cabo Verde,CPV,506.046,498.712,491.378
Russia,RUS,1830830.424,1778561.006,1705345.684
Bulgaria,BGR,44708.064,39599.933,42416.189
Croatia,HRV,17993.969,17550.262,16842.531
Gambia,GMB,454.708,432.706,513.38
Iceland,ISL,1800.497,1899.506,1983.847
Guinea,GIN,2581.568,2299.209,2449.556
Guinea-Bissau,GNB,253.023,256.69,271.358
Liechtenstein,LIE,47.671,51.338,44.004
Congo,COG,2970.27,3087.614,3094.948
Dem. Rep. Congo,COD,2401.885,3589.993,4671.758
Libya,LBY,52683.789,56266.448,56996.181
Liberia,LBR,1026.76,957.087,935.085
Canada,CAN,517457.704,517160.677,537193.498
Ghana,GHA,11877.413,14620.329,14466.315
Gabon,GAB,5104.464,5280.48,5192.472
Hungary,HUN,44583.386,42141.164,42086.159
North Macedonia,MKD,8965.815,7847.38,7510.016
S. Sudan,SSD,1331.121,1448.465,1496.136
South Africa,ZAF,468770.945,466376.394,489771.854
Botswana,BWA,4231.718,5229.142,7033.306
Qatar,QAT,94124.556,85023.062,107853.804
Rwanda,RWA,737.067,803.073,839.743
Luxembourg,LUX,10663.636,10051.247,9658.878
India,IND,2018503.817,2034752.294,2238377.137
